Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 38.89      0.14     0.14    39369     0.00     0.01  partition(std::vector<int, std::allocator<int> >&, int, int)
 31.94      0.26     0.12 253359762     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 20.83      0.33     0.07 227950179     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  6.94      0.35     0.03 75983393     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  1.39      0.36     0.01       16     0.31     0.31  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.36     0.00    89036     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.36     0.00    44488     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.36     0.00    44440     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.36     0.00      936     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.36     0.00      640     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.36     0.00      624     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.36     0.00      328     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.36     0.00      313     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.36     0.00      312     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.36     0.00      312     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.36     0.00      312     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.36     0.00      312     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.36     0.00      312     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.36     0.00      312     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.36     0.00      312     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.36     0.00      172     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.36     0.00      156     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.36     0.00      156     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
